区分,登場MAP,ID,名称,Rank,種族,画像ID,流用元画像ID,HP,MP,攻撃,防御,素早さ,魔力,魔防,行動回数,属性耐性,スキル,通常ドロップ,レアドロップ,仲間化,図鑑文
通常敵,雷霆砂丘,856,雷砂のスコルピオ,86,獣,856,453,900,142,302,190,173,146,163,1,雷:+55% / 風:-35%,1:こうげき(35%) / 106:雷鳴突き(25%) / 118:サンダーボルト(25%) / 700:どくのいき(15%),6:世界樹の雫 (14%),2046:神獣の聖皮 (4%),対象,雷を帯びた尾針で砂中から獲物を刺す。硬い殻は放電のたび青白く明滅する。
通常敵,雷霆砂丘,857,轟電サンドワーム,87,獣,857,1853,1112,155,244,236,131,138,213,1,雷:+55% / 風:-35%,1:こうげき(35%) / 118:サンダーボルト(25%) / 304:いなずま(25%) / 601:ボミオス(15%),2029:天馬の羽 (14%),1077:破魔の呪香 (4%),対象,砂丘の地下を走る巨大な魔虫。地表へ出る直前、砂粒が雷鳴のように震える。
通常敵,雷霆砂丘,858,帯電する石像兵,88,無生物,858,303204,1145,158,248,240,134,140,216,1,雷:+55% / 風:-35%,1:こうげき(35%) / 106:雷鳴突き(25%) / 138:ギガスロー(25%) / 501:スクルト(15%),1077:破魔の呪香 (14%),2006:神鉄インゴット (4%),対象,落雷を蓄える石像兵。盾で受けた衝撃を電撃に変えて返す。
通常敵,雷霆砂丘,859,雷雲のラミア,89,魔族,859,1951,863,252,77,156,179,329,232,1,雷:+55% / 風:-35%,1:こうげき(15%) / 206:ライデイン(35%) / 226:ギガデイン(30%) / 230:裁きの雷霆(20%),2021:虹の結晶 (14%),6:世界樹の雫 (4%),対象,帯電した雲をまとって砂上を滑る蛇魔。遠雷に紛れて術を放つ。
通常敵,雷霆砂丘,860,紫電の砂王獣,90,獣,860,901,1492,237,315,227,197,315,228,2,雷:+55% / 風:-35%,1:こうげき(20%) / 155:ギガブレイク(20%) / 226:ギガデイン(25%) / 711:はげしいおたけび(20%) / 705:いてつくはどう(15%),6:世界樹の雫 (14%),100:いのちのきのみ (4%),対象,砂嵐の中心に棲む獣王。紫電を角へ集め、群れごと踏み砕く。
通常敵,黒縄のピラミッド,905,黒縄ミイラ兵,91,死霊,905,252,1035,158,329,206,189,159,178,1,雷:+55% / 風:-35%,1:こうげき(35%) / 106:雷鳴突き(25%) / 118:サンダーボルト(25%) / 701:おたけび(15%),6:世界樹の雫 (14%),2022:賢者の石片 (4%),対象,黒縄で骨を縛られた守墓兵。朽ちた剣には雷が残っている。
通常敵,黒縄のピラミッド,906,雷葬のアヌビス,92,獣人,906,303206,1062,160,334,209,192,162,180,1,雷:+55% / 風:-35%,1:こうげき(35%) / 118:サンダーボルト(25%) / 226:ギガデイン(25%) / 703:マホトーン(15%),2037:古竜の爪 (14%),6:世界樹の雫 (4%),対象,王墓の門を巡回する獣頭の戦士。侵入者の足音を電気で探る。
通常敵,黒縄のピラミッド,907,電晶スカラベ,93,獣,907,405,1002,196,299,174,239,258,183,1,雷:+55% / 風:-35%,1:こうげき(35%) / 106:雷鳴突き(25%) / 304:いなずま(25%) / 601:ボミオス(15%),6:世界樹の雫 (14%),2046:神獣の聖皮 (4%),対象,雷晶を背負う甲虫。壁面を走り、術者の詠唱へ放電を浴びせる。
通常敵,黒縄のピラミッド,908,王墓の雷術師,94,魔族,908,406,982,278,83,168,194,358,251,1,雷:+55% / 風:-35%,1:こうげき(20%) / 206:ライデイン(20%) / 226:ギガデイン(25%) / 230:裁きの雷霆(20%) / 503:マジックバリア(15%),2037:古竜の爪 (14%),1028:奈落の器 (4%),対象,王家の雷呪を守る術師。棺の刻印を媒介に雷霆を連ねる。
通常敵,黒縄のピラミッド,909,黒雷の番獣,95,獣,909,402,1692,260,342,245,213,343,246,2,雷:+55% / 風:-35%,1:こうげき(20%) / 155:ギガブレイク(20%) / 230:裁きの雷霆(25%) / 237:ジゴデイン(20%) / 711:はげしいおたけび(15%),1013:雷霆の器 (14%),104:すばやさのたね (4%),対象,最奥の石棺を守る黒い魔獣。傷を負うほど雷雲を濃くする。
通常敵,叫喚の墓地,861,嘆風の亡者,86,死霊,861,154,792,238,73,148,170,312,220,1,風:+55% / 雷:-35%,1:こうげき(15%) / 114:暗黒剣(35%) / 202:バギ(30%) / 703:マホトーン(20%),1073:軟化の呪香 (14%),2022:賢者の石片 (4%),対象,墓標の隙間を漂う亡者。嘆き声が風となり、旅人の足を止める。
通常敵,叫喚の墓地,862,墓守りガルーダ,87,獣,862,404,853,175,270,158,216,233,166,1,風:+55% / 雷:-35%,1:こうげき(35%) / 103:ウイングアッパー(25%) / 127:しんくうは(25%) / 311:ウイングダイブ(15%),2045:幻獣の毛皮 (14%),6:世界樹の雫 (4%),対象,墓地上空を旋回する翼獣。羽ばたきだけで古い墓石を削る。
通常敵,叫喚の墓地,863,哭き声のバンシー,88,死霊,863,452,840,248,75,153,176,324,228,1,風:+55% / 雷:-35%,1:こうげき(20%) / 202:バギ(20%) / 211:バギマ(25%) / 703:マホトーン(20%) / 601:ボミオス(15%),6:世界樹の雫 (14%),2022:賢者の石片 (4%),対象,埋葬されなかった声が形を得た死霊。泣き声で魔法を封じる。
通常敵,叫喚の墓地,864,風葬の骸騎士,89,死霊,864,357,1177,162,252,244,136,143,220,1,風:+55% / 雷:-35%,1:こうげき(35%) / 103:ウイングアッパー(25%) / 127:しんくうは(25%) / 602:ルカナン(15%),2061:世界の断片 (14%),6:世界樹の雫 (4%),対象,風化した鎧に亡霊が宿った騎士。刃の軌跡に真空の傷を残す。
通常敵,叫喚の墓地,865,叫喚の墓獣,90,獣,865,851,1492,237,315,227,197,315,228,2,風:+55% / 雷:-35%,1:こうげき(20%) / 132:超はやぶさ斬り(20%) / 215:バギクロス(25%) / 311:ウイングダイブ(20%) / 711:はげしいおたけび(15%),6:世界樹の雫 (14%),106:スキルのたね (4%),対象,無数の叫びを喰らって育った墓獣。咆哮と暴風を同時に放つ。
通常敵,魔風の霊廟,910,霊廟の風読師,91,魔族,910,301082,911,262,79,161,185,341,240,1,風:+55% / 雷:-35%,1:こうげき(20%) / 211:バギマ(20%) / 215:バギクロス(25%) / 601:ボミオス(20%) / 503:マジックバリア(15%),6:世界樹の雫 (14%),2022:賢者の石片 (4%),対象,霊廟の気流を読み、死者の声を術へ変える風の司祭。
通常敵,魔風の霊廟,911,旋風ミイラ,92,死霊,911,1254,977,193,294,172,235,254,180,1,風:+55% / 雷:-35%,1:こうげき(35%) / 103:ウイングアッパー(25%) / 127:しんくうは(25%) / 703:マホトーン(15%),2061:世界の断片 (14%),1013:雷霆の器 (4%),対象,葬衣を旋風のように翻す亡者。近づく者を墓室の壁へ叩きつける。
通常敵,魔風の霊廟,912,虚空のレイス,93,死霊,912,802,958,272,82,166,191,352,247,1,風:+55% / 雷:-35%,1:こうげき(15%) / 202:バギ(35%) / 215:バギクロス(30%) / 704:スキルブレイク(20%),1033:終焉の器 (14%),2022:賢者の石片 (4%),対象,空洞だけを残して漂う死霊。触れた空間から音と熱を奪う。
通常敵,魔風の霊廟,913,魔風の石翼獣,94,無生物,913,556,1339,178,274,263,147,155,238,1,風:+55% / 雷:-35%,1:こうげき(35%) / 127:しんくうは(25%) / 311:ウイングダイブ(25%) / 701:おたけび(15%),2005:星銀鋼 (14%),6:世界樹の雫 (4%),対象,霊廟の屋根を守る石翼像。動くたび石粉を巻き上げる。
通常敵,魔風の霊廟,914,葬送の嵐蛇,95,竜,914,1653,1692,260,342,245,213,343,246,2,風:+55% / 雷:-35%,1:こうげき(20%) / 161:疾風迅雷(20%) / 222:バギムーチョ(25%) / 236:烈風バギムーチョ(20%) / 714:竜の咆哮(15%),6:世界樹の雫 (14%),103:まりょくのたね (4%),対象,葬送歌に呼ばれて現れる嵐蛇。長い胴で通路を塞ぎ風を圧縮する。
通常敵,極寒樹林,956,凍樹のトレント,96,植物,956,701,1404,184,282,271,152,160,245,1,水:+55% / 火:-35%,1:こうげき(35%) / 105:氷結斬り(25%) / 210:ヒャダルコ(25%) / 601:ボミオス(15%),6:世界樹の雫 (14%),2014:神木の欠片 (4%),対象,根まで凍りながら動く古樹。枝先の氷を槍のように落とす。
通常敵,極寒樹林,957,氷牙フェンリル,97,獣,957,510,1101,211,318,185,254,275,195,1,水:+55% / 火:-35%,1:こうげき(35%) / 105:氷結斬り(25%) / 301:こごえる吹雪(25%) / 132:超はやぶさ斬り(15%),2037:古竜の爪 (14%),6:世界樹の雫 (4%),対象,雪煙に紛れて獲物を囲む氷狼。牙に触れた傷から体温を奪う。
通常敵,極寒樹林,958,霜衣の魔女,98,魔族,958,1703,1077,298,89,178,206,381,266,1,水:+55% / 火:-35%,1:こうげき(15%) / 210:ヒャダルコ(35%) / 221:マヒャデドス(30%) / 503:マジックバリア(20%),6:世界樹の雫 (14%),2022:賢者の石片 (4%),対象,霜を衣としてまとう魔女。吐息で術式を凍らせ、別の形へ組み替える。
通常敵,極寒樹林,959,白氷の甲殻獣,99,竜,959,303208,1501,194,295,283,159,168,256,1,水:+55% / 火:-35%,1:こうげき(35%) / 105:氷結斬り(25%) / 305:かがやく息(25%) / 602:ルカナン(15%),2037:古竜の爪 (14%),1051:剛力の戦香 (4%),対象,氷殻を重ねた爬獣。動きは鈍いが、正面からの攻撃をほとんど通さない。
通常敵,極寒樹林,960,極寒の森王,100,竜,960,1154,1891,283,368,263,229,370,265,2,水:+55% / 火:-35%,1:こうげき(20%) / 221:マヒャデドス(20%) / 305:かがやく息(25%) / 307:絶対零度(20%) / 714:竜の咆哮(15%),1051:剛力の戦香 (14%),106:スキルのたね (4%),対象,極寒樹林の奥で眠る古竜。翼を開くだけで森一帯に吹雪が起こる。
通常敵,氷刻の浄罪路,1005,浄罪の氷僧,101,死霊,1005,401120,1148,312,93,186,215,398,278,1,水:+55% / 火:-35%,1:こうげき(15%) / 210:ヒャダルコ(35%) / 221:マヒャデドス(30%) / 404:エリアヒール(20%),1018:天嵐の器 (14%),2022:賢者の石片 (4%),対象,罪人の祈りを凍らせて集める僧。氷像を盾にして傷を癒やす。
通常敵,氷刻の浄罪路,1006,氷刻の処刑騎士,102,死霊,1006,357,1332,190,389,241,222,189,209,1,水:+55% / 火:-35%,1:こうげき(35%) / 105:氷結斬り(25%) / 135:天下無双(25%) / 221:マヒャデドス(15%),2061:世界の断片 (14%),6:世界樹の雫 (4%),対象,処刑具を刃へ作り替えた亡霊騎士。足元から氷の杭を伸ばす。
通常敵,氷刻の浄罪路,1007,凍涙のセイレーン,103,魔族,1007,301030,1196,322,95,191,221,410,285,1,水:+55% / 火:-35%,1:こうげき(20%) / 221:マヒャデドス(20%) / 235:氷塊マヒャデドス(25%) / 703:マホトーン(20%) / 601:ボミオス(15%),6:世界樹の雫 (14%),2038:神獣の爪 (4%),対象,凍った涙を歌へ変える魔性。歌声を聞いた者は指先から動かなくなる。
通常敵,氷刻の浄罪路,1008,罪鎖の霜竜,104,竜,1008,1153,1663,210,317,302,170,180,274,1,水:+55% / 火:-35%,1:こうげき(35%) / 305:かがやく息(25%) / 307:絶対零度(25%) / 714:竜の咆哮(15%),2037:古竜の爪 (14%),6:世界樹の雫 (4%),対象,鎖の痕を鱗に刻んだ霜竜。暴れるほど周囲の温度が下がる。
通常敵,氷刻の浄罪路,1009,無音の氷獄獣,105,獣,1009,1055,2091,306,395,281,245,397,283,2,水:+55% / 火:-35%,1:こうげき(20%) / 132:超はやぶさ斬り(20%) / 235:氷塊マヒャデドス(25%) / 307:絶対零度(20%) / 711:はげしいおたけび(15%),6:世界樹の雫 (14%),103:まりょくのたね (4%),対象,音の届かない氷獄から現れる獣。気配を消したまま喉元へ迫る。
通常敵,煉獄山脈,961,煉岩の火蜥蜴,96,竜,961,704,1076,207,313,182,250,271,192,1,火:+55% / 水:-35%,1:こうげき(35%) / 104:火炎斬り(25%) / 302:はげしい炎(25%) / 700:どくのいき(15%),6:世界樹の雫 (14%),2006:神鉄インゴット (4%),対象,溶岩の割れ目を泳ぐ火蜥蜴。尾で散らした火の粉が遅れて爆ぜる。
通常敵,煉獄山脈,962,熔断の山羊鬼,97,獣人,962,303201,1197,176,362,225,207,175,195,1,火:+55% / 水:-35%,1:こうげき(35%) / 104:火炎斬り(25%) / 153:紅蓮連撃(25%) / 711:はげしいおたけび(15%),2029:天馬の羽 (14%),1057:魔障の戦香 (4%),対象,焼けた斧を振るう山羊鬼。岩壁ごと獲物を断ち切ろうとする。
通常敵,煉獄山脈,963,灰翼の火竜,98,竜,963,554,1126,214,323,187,258,279,197,1,火:+55% / 水:-35%,1:こうげき(35%) / 302:はげしい炎(25%) / 306:しゃくねつ(25%) / 310:紅蓮の炎(15%),1057:魔障の戦香 (14%),2006:神鉄インゴット (4%),対象,灰を翼膜にまとった火竜。飛び立つたび山肌へ赤い火線を引く。
