"eid","name","type","baseName","currentRank","targetRank","currentData","nextData","identityPreserved"
"1","ひのきのぼう","武器","剣","1","10","{""atk"":3,""hit"":10}","{""atk"":6,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"2","石のオノ","武器","斧","1","10","{""atk"":4,""hit"":-10}","{""atk"":8,""hit"":-10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"3","銅のナイフ","武器","短剣","1","10","{""atk"":1,""mag"":1,""cri"":2}","{""atk"":3,""mag"":3,""cri"":2}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"4","樫の杖","武器","杖","1","10","{""mag"":4}","{""mag"":7}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"5","たけのやり","武器","槍","1","10","{""atk"":4}","{""atk"":7}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"6","おもちゃの弓","武器","弓","1","10","{""atk"":4,""cri"":5,""hit"":-15}","{""atk"":7,""cri"":5,""hit"":-15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"7","おなべのふた","盾","盾","1","10","{""def"":3,""mdef"":1}","{""def"":6,""mdef"":3}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"8","銅のバングル","盾","腕輪","1","10","{""atk"":1,""def"":1,""mag"":1,""mdef"":1}","{""atk"":3,""def"":3,""mag"":3,""mdef"":3}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"9","皮のぼうし","頭","兜","1","10","{""def"":2,""mdef"":1,""hp"":5,""mp"":4}","{""def"":4,""mdef"":2,""hp"":8,""mp"":8}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"10","ターバン","頭","帽子","1","10","{""def"":1,""mdef"":2,""hp"":4,""mp"":5}","{""def"":2,""mdef"":4,""hp"":8,""mp"":8}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"11","布の服","体","鎧","1","10","{""def"":2,""mdef"":1}","{""def"":4,""mdef"":3}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"12","旅人の服","体","ローブ","1","10","{""def"":1,""mag"":1,""mdef"":1}","{""def"":3,""mag"":3,""mdef"":3}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"13","皮のくつ","足","ブーツ","1","10","{""def"":1,""mdef"":1,""spd"":1}","{""def"":3,""mdef"":2,""spd"":3}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"14","わらじ","足","くつ","1","10","{""spd"":2,""eva"":5}","{""spd"":4,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"21","銅のつるぎ","武器","剣","10","20","{""atk"":6,""hit"":10}","{""atk"":9,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"22","鉄のオノ","武器","斧","10","20","{""atk"":8,""spd"":-2,""hit"":-10}","{""atk"":12,""spd"":-2,""hit"":-10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"23","鉄のナイフ","武器","短剣","10","20","{""atk"":3,""mag"":3,""cri"":5}","{""atk"":5,""mag"":5,""cri"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"24","魔導士の杖","武器","杖","10","20","{""mag"":7}","{""mag"":11}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"25","鉄のやり","武器","槍","10","20","{""atk"":7}","{""atk"":11}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"26","ショートボウ","武器","弓","10","20","{""atk"":7,""cri"":5,""hit"":-15}","{""atk"":11,""cri"":5,""hit"":-15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"27","皮のたて","盾","盾","10","20","{""def"":6,""mdef"":3}","{""def"":8,""mdef"":6}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"28","鉄の腕輪","盾","腕輪","10","20","{""atk"":3,""def"":3,""mag"":3,""mdef"":3}","{""atk"":4,""def"":5,""mag"":4,""mdef"":6}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"29","木のヘルメット","頭","兜","10","20","{""def"":4,""mdef"":2,""hp"":8,""mp"":8}","{""def"":6,""mdef"":4,""hp"":12,""mp"":13}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"30","羽根ぼうし","頭","帽子","10","20","{""def"":2,""mdef"":4,""hp"":8,""mp"":8}","{""def"":4,""mdef"":6,""hp"":13,""mp"":12}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"31","皮のよろい","体","鎧","10","20","{""def"":4,""mdef"":3}","{""def"":7,""mdef"":4}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"32","稽古着","体","ローブ","10","20","{""def"":3,""mag"":3,""mdef"":3}","{""def"":4,""mag"":5,""mdef"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"33","鉄のグリーヴ","足","ブーツ","10","20","{""def"":3,""spd"":3}","{""def"":4,""spd"":4}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"34","旅人のくつ","足","くつ","10","20","{""spd"":4,""eva"":5}","{""spd"":7,""eva"":5}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"41","鉄のつるぎ","武器","剣","20","30","{""atk"":9,""hit"":10}","{""atk"":12,""hit"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"42","バトルアックス","武器","斧","20","30","{""atk"":12,""spd"":-3,""hit"":-10}","{""atk"":16,""spd"":-3,""hit"":-10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"43","どくがのナイフ","武器","短剣","20","30","{""atk"":5,""mag"":5,""cri"":5,""attack_Poison"":10}","{""atk"":8,""mag"":8,""cri"":5,""attack_Poison"":10}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"44","ルーンスタッフ","武器","杖","20","30","{""mag"":11}","{""mag"":15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"45","パルチザン","武器","槍","20","30","{""atk"":11}","{""atk"":14}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"46","クロスボウ","武器","弓","20","30","{""atk"":11,""cri"":5,""hit"":-15}","{""atk"":14,""cri"":5,""hit"":-15}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"47","鉄のたて","盾","盾","20","30","{""def"":8,""mdef"":6}","{""def"":11,""mdef"":8}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"48","銀のバングル","盾","腕輪","20","30","{""atk"":4,""def"":5,""mag"":4,""mdef"":6}","{""atk"":6,""def"":8,""mag"":6,""mdef"":9}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"49","鉄かぶと","頭","兜","20","30","{""def"":6,""mdef"":4,""hp"":12,""mp"":13}","{""def"":8,""mdef"":5,""hp"":16,""mp"":17}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"50","魔道士の帽子","頭","帽子","20","30","{""def"":4,""mdef"":6,""hp"":13,""mp"":12}","{""def"":5,""mdef"":8,""hp"":17,""mp"":16}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
"51","鎖かたびら","体","鎧","20","30","{""def"":7,""mdef"":4,""finRed"":3}","{""def"":9,""mdef"":6,""finRed"":3}","id/eid/masterEid/name/type/baseName/plus/opts/traits/possibleOpts/grantSkills/locked/source/custom metadata"
