区分,項目,変更前,変更後,備考
昇格EXP,G→F,60,300,累計必要EXP
昇格EXP,F→E,170,1000,累計必要EXP
昇格EXP,E→D,340,2500,累計必要EXP
昇格EXP,D→C,600,6000,累計必要EXP
昇格EXP,C→B,980,13000,累計必要EXP
昇格EXP,B→A,1500,26000,累計必要EXP
昇格EXP,A→S,2200,50000,累計必要EXP
参考Rank,Gランク基準,進行値と累計ギルドEXPを多重加算,35,物語・深淵進行は上限付きで加算
参考Rank,Fランク基準,進行値と累計ギルドEXPを多重加算,45,同上
参考Rank,Eランク基準,進行値と累計ギルドEXPを多重加算,60,同上
参考Rank,Dランク基準,進行値と累計ギルドEXPを多重加算,75,同上
参考Rank,Cランク基準,進行値と累計ギルドEXPを多重加算,90,同上
参考Rank,Bランク基準,進行値と累計ギルドEXPを多重加算,110,同上
参考Rank,Aランク基準,進行値と累計ギルドEXPを多重加算,135,同上
参考Rank,Sランク基準,進行値と累計ギルドEXPを多重加算,160,同上
参考Rank,上限,実質上限なし,220,累計ギルドEXPは参考Rankへ加算しない
通常敵倍率,SSR,複数経路で変動,1.05,一つの正式経路へ統合
通常敵倍率,UR,複数経路で変動,1.12,一つの正式経路へ統合
通常敵倍率,EX,複数経路で変動,1.20,一つの正式経路へ統合
ボス倍率,SSR,通常敵倍率・深層倍率・ボス倍率が重複,1.15,能力倍率はこの値だけを適用
ボス倍率,UR,通常敵倍率・深層倍率・ボス倍率が重複,1.30,能力倍率はこの値だけを適用
ボス倍率,EX,通常敵倍率・深層倍率・ボス倍率が重複,1.50,能力倍率はこの値だけを適用
超強敵ギミック,通常敵追加倍率,過剰な多重倍率,1.35,EX通常敵最大1.62倍
依頼報酬,Rank200 EXギルドEXP,進行度により過大,1000,単発で最高ランクへ到達しない
依頼報酬,Rank200 EXギルドポイント,進行度により過大,2200,参考Rank×11
宝箱,報酬Rank,表示階層・別進行値を参照,依頼の参考Rank,装備・宝箱報酬を依頼難度へ一致
