category,id,name,rank,old_hp,new_hp,old_mp,new_mp,old_atk,new_atk,old_def,new_def,old_mag,new_mag,old_mdef,new_mdef,old_spd,new_spd,old_exp,new_exp
強敵,1160,混沌牢の看守長,120,2691,4844,375,469,445,556,335,419,450,562,338,422,294,323,9982,3750
通常敵,1201,エビルレオン,121,1572,2830,209,261,416,520,280,350,252,315,260,325,237,261,6250,2300
通常敵,1202,オネイロス,121,1638,2948,288,360,370,462,270,338,401,501,291,364,259,285,6250,2300
通常敵,1203,ニーズヘッグ,121,1680,3024,238,298,401,501,284,355,331,414,284,355,259,285,6250,2300
通常敵,1204,レムレスキラー,121,1328,2390,298,372,18,22,153,191,425,531,303,379,284,312,6250,2300
通常敵,1251,イビルスライム,126,1782,3208,247,309,344,430,284,355,344,430,270,338,149,164,7250,2600
強敵,1252,ウィスプロード,126,2058,3704,325,406,18,22,177,221,357,446,334,418,318,350,11963,4400
通常敵,1253,キングスキラー,126,1354,2437,256,320,309,386,153,191,370,462,280,350,295,324,7250,2600
通常敵,1254,ヘルシーカー,126,1354,2437,298,372,18,22,153,191,431,539,315,394,295,324,7250,2600
通常敵,1255,リリスナイト,126,1831,3296,168,210,425,531,334,418,215,269,291,364,201,221,7250,2600
通常敵,1301,アルカナソード,131,1954,3517,174,218,450,562,351,439,237,296,311,389,215,237,8750,3000
通常敵,1302,ヴェルザーク,131,1859,3346,222,278,470,588,311,389,280,350,298,372,267,294,8750,3000
通常敵,1303,ガルヴァロス,131,1727,3109,174,218,454,568,228,285,16,20,78,98,327,360,8750,3000
通常敵,1304,ノクティリア,131,1617,2911,330,412,18,22,219,274,470,588,342,428,286,315,8750,3000
通常敵,1351,エビルグレン,136,1859,3346,304,380,438,548,311,389,486,608,311,389,267,294,10500,3400
通常敵,1352,ダークドラゴン,136,1999,3598,313,391,470,588,332,415,470,588,351,439,275,302,10500,3400
通常敵,1353,ブライトドラゴン,136,1999,3598,313,391,470,588,332,415,470,588,351,439,275,302,10500,3400
