旧ID,新ID,名前,旧ランク,新ランク,旧通常ドロップ,新通常ドロップ,旧レアドロップ,新レアドロップ,変更有無
000001,000001,ジェリー,1,1,1:やくそう（12%）,1:やくそう（12%）,2049:青い薬液（2%）,2049:青い薬液（2%）,なし
000002,000002,やみこうもり,1,1,1:やくそう（12%）,1:やくそう（12%）,2025:鷹の尾羽（2%）,2025:鷹の尾羽（2%）,なし
000003,000003,ウィスプ,1,1,2016:劣化魔石（12%）,2016:劣化魔石（12%）,3:魔法の小瓶（2%）,3:魔法の小瓶（2%）,なし
000004,000004,ヒールジェリー,1,2,1:やくそう（12%）,1:やくそう（12%）,2049:青い薬液（2%）,2049:青い薬液（2%）,なし
000054,000051,さまよう鎧,6,6,2000:鉄くず（12%）,2000:鉄くず（12%）,1040:魔力の霧（2%）,1040:魔力の霧（2%）,なし
001356,000052,シェイドクローラー,136,6,2062:神代遺物（15%）,2056:謎の欠片（12%）,6:世界樹の雫（5%）,1040:魔力の霧（2%）,あり
001405,000053,ストーンモール,141,6,6:世界樹の雫（15%）,3:魔法の小瓶（12%）,2047:混沌獣の黒皮（5%）,2041:獣の毛皮（2%）,あり
000052,000054,ポイズンジェリー,6,6,3:魔法の小瓶（12%）,3:魔法の小瓶（12%）,2049:青い薬液（2%）,2049:青い薬液（2%）,なし
000051,000055,ホーンラビット,6,6,2032:欠けた爪（12%）,2032:欠けた爪（12%）,1040:魔力の霧（2%）,1040:魔力の霧（2%）,なし
000201,000101,サンドリザード,21,11,2001:青銅の鉱石（12%）,2001:青銅の鉱石（12%）,1040:魔力の霧（2%）,1040:魔力の霧（2%）,なし
000102,000102,ブラックバット,11,11,2033:鋭い爪（12%）,2033:鋭い爪（12%）,1040:魔力の霧（2%）,1040:魔力の霧（2%）,なし
000101,000103,マッドゴーレム,11,11,2:上やくそう（12%）,2:上やくそう（12%）,2002:黒鉄の鉱石（2%）,2002:黒鉄の鉱石（2%）,なし
000053,000104,火の小精,6,11,2:上やくそう（12%）,2:上やくそう（12%）,2049:青い薬液（2%）,2050:魔獣の血（2%）,あり
000055,000105,錆びた鎧兵,6,11,3:魔法の小瓶（12%）,3:魔法の小瓶（12%）,106:スキルのたね（2%）,100:いのちのきのみ（2%）,あり
000151,000151,いたずらバット,16,16,1040:魔力の霧（12%）,1040:魔力の霧（12%）,2018:大きな魔石（2%）,2018:大きな魔石（2%）,なし
000154,000152,いやしの芽,16,16,1040:魔力の霧（12%）,1040:魔力の霧（12%）,2010:霊木の欠片（2%）,2010:霊木の欠片（2%）,なし
000104,000153,グラスウルフ,11,16,2:上やくそう（12%）,1044:いやしの大粉（12%）,2026:ふわふわの羽毛（2%）,2026:ふわふわの羽毛（2%）,あり
000153,000154,ゴースト,16,16,2017:小さな魔石（12%）,2017:小さな魔石（12%）,1040:魔力の霧（2%）,1040:魔力の霧（2%）,なし
001456,000155,ソーンボア,146,20,2014:神木の欠片（15%）,1040:魔力の霧（12%）,6:世界樹の雫（5%）,2010:霊木の欠片（2%）,あり
000202,000201,ヘルラビット,21,21,1040:魔力の霧（12%）,1040:魔力の霧（12%）,2042:魔獣の皮（2%）,2042:魔獣の皮（2%）,なし
000204,000202,マンドラゴラ,21,21,2009:丈夫な木材（12%）,2009:丈夫な木材（12%）,1040:魔力の霧（2%）,1040:魔力の霧（2%）,なし
000203,000203,呪いの霊魂,21,21,1044:いやしの大粉（12%）,1044:いやしの大粉（12%）,2018:大きな魔石（2%）,2018:大きな魔石（2%）,なし
000251,000204,アーミーウルフ,26,22,1044:いやしの大粉（13%）,1044:いやしの大粉（12%）,2027:幻鳥の羽（3%）,2026:ふわふわの羽毛（2%）,あり
000255,000205,群狼隊長,26,25,1017:旋風珠（13%）,2033:鋭い爪（12%）,105:まもりのたね（3%）,105:まもりのたね（2%）,あり
000252,000251,アイアンジェリー,26,26,2050:魔獣の血（13%）,2050:魔獣の血（13%）,13:超やくそう（3%）,13:超やくそう（3%）,なし
000152,000252,ブロンズナイト,16,26,1044:いやしの大粉（12%）,2002:黒鉄の鉱石（13%）,2002:黒鉄の鉱石（2%）,1076:破魔の呪瓶（3%）,あり
000302,000253,ルーンジェリー,31,26,2050:魔獣の血（13%）,2050:魔獣の血（13%）,1056:魔障の霊薬（3%）,1056:魔障の霊薬（3%）,なし
000301,000254,キラーバット,31,30,1040:魔力の霧（13%）,1040:魔力の霧（13%）,2043:霊獣の毛皮（3%）,2043:霊獣の毛皮（3%）,なし
000155,000255,ブロンズリーダー,16,30,1044:いやしの大粉（12%）,1044:いやしの大粉（13%）,102:ちからのたね（2%）,103:まりょくのたね（3%）,あり
000254,000301,ヒールスポア,26,31,2010:霊木の欠片（13%）,2010:霊木の欠片（13%）,1032:魔蝕珠（3%）,1031:崩界の壺（3%）,あり
000453,000302,フレイムヴァイン,46,31,1056:魔障の霊薬（13%）,1027:黒月珠（13%）,2012:世界樹の枝（3%）,2011:古代樹の木片（3%）,あり
000253,000303,フレイムスプライト,26,31,1040:魔力の霧（13%）,1040:魔力の霧（13%）,2027:幻鳥の羽（3%）,2027:幻鳥の羽（3%）,なし
000805,000304,灰火のインプ,81,31,6:世界樹の雫（14%）,1040:魔力の霧（13%）,2021:虹の結晶（4%）,2019:魔晶石（3%）,あり
000304,000305,見習いメイジ,31,31,2018:大きな魔石（13%）,2018:大きな魔石（13%）,1041:賢者の香（3%）,1041:賢者の香（3%）,なし
000352,000351,アクアウィスプ,36,36,2026:ふわふわの羽毛（13%）,2026:ふわふわの羽毛（13%）,1041:賢者の香（3%）,1041:賢者の香（3%）,なし
000103,000352,アクアスライム,11,36,3:魔法の小瓶（12%）,13:超やくそう（13%）,2050:魔獣の血（2%）,2051:精霊の涙（3%）,あり
000354,000353,ダークウィスプ,36,36,2018:大きな魔石（13%）,2018:大きな魔石（13%）,1041:賢者の香（3%）,1041:賢者の香（3%）,なし
000351,000354,ファイアウィスプ,36,36,1072:軟化の呪瓶（13%）,1072:軟化の呪瓶（13%）,2019:魔晶石（3%）,2019:魔晶石（3%）,なし
000353,000355,ライトウィスプ,36,36,13:超やくそう（13%）,13:超やくそう（13%）,2051:精霊の涙（3%）,2051:精霊の涙（3%）,なし
000451,000356,ダークソルジャー,46,37,1041:賢者の香（13%）,13:超やくそう（13%）,2004:オリハルコンの欠片（3%）,2003:ミスリルの鉱石（3%）,あり
