旧ID,新ID,名前,旧ランク,新ランク,登場エリア（新）,旧hp,旧mp,旧atk,旧def,旧spd,旧mag,旧mdef,旧gold,旧exp,新hp,新mp,新atk,新def,新spd,新mag,新mdef,新gold,新exp,スキル変更
000001,000001,ジェリー,1,1,リュミナ村周辺／北東の洞穴（1階）,11,16,12,6,4,5,4,14,7,11,16,12,6,4,5,4,14,7,なし
000002,000002,やみこうもり,1,1,リュミナ村周辺／北東の洞穴（1階）,10,32,15,7,5,11,4,18,8,10,32,15,7,5,11,4,18,8,なし
000003,000003,ウィスプ,1,1,リュミナ村周辺／北東の洞穴（1階）,8,27,9,8,4,14,7,19,8,8,27,9,8,4,14,7,19,8,なし
000004,000004,ヒールジェリー,1,2,リュミナ村周辺／北東の洞穴（1階）,9,16,7,4,1,4,9,28,16,13,19,8,5,1,4,9,30,16,なし
000054,000051,さまよう鎧,6,6,森の風穴（1～2階）／炎の里イグニシア周辺,65,33,24,17,5,8,9,55,28,65,33,24,17,5,8,9,55,28,なし
001356,000052,シェイドクローラー,136,6,森の風穴（1～2階）／炎の里イグニシア周辺,2380,286,548,312,362,296,304,20000,10500,67,45,22,9,15,6,7,40,23,あり
001405,000053,ストーンモール,141,6,森の風穴（1～2階）／炎の里イグニシア周辺,2680,196,582,522,184,138,326,24000,12500,74,32,21,15,8,3,7,41,24,あり
000052,000054,ポイズンジェリー,6,6,森の風穴（1～2階）／炎の里イグニシア周辺,52,32,19,11,11,7,6,40,23,52,32,19,11,11,7,6,40,23,なし
000051,000055,ホーンラビット,6,6,森の風穴（1～2階）／炎の里イグニシア周辺,37,41,22,8,22,3,5,34,19,37,41,22,8,22,3,5,34,19,なし
000201,000101,サンドリザード,21,11,イグナ火山（1～3階）,182,80,60,22,16,4,9,298,136,96,58,46,16,7,4,6,135,59,あり
000102,000102,ブラックバット,11,11,イグナ火山（1～3階）,72,72,27,5,24,26,4,117,51,72,72,27,5,24,26,4,117,51,なし
000101,000103,マッドゴーレム,11,11,イグナ火山（1～3階）,102,42,34,17,4,3,7,117,51,102,42,34,17,4,3,7,117,51,なし
000053,000104,火の小精,6,11,イグナ火山（1～3階）,40,45,11,6,17,22,13,40,23,72,67,17,6,17,32,12,115,51,なし
000055,000105,錆びた鎧兵,6,11,イグナ火山（1～3階）,80,49,19,20,6,4,11,90,43,135,73,28,18,7,8,10,185,82,なし
000151,000151,いたずらバット,16,16,風の集落カザリア周辺／禁忌の森（1～2階）,110,68,28,9,20,41,12,148,68,110,68,28,9,20,41,12,148,68,なし
000154,000152,いやしの芽,16,16,風の集落カザリア周辺／禁忌の森（1～2階）,131,99,6,9,6,40,13,148,68,131,99,6,9,6,40,13,148,68,なし
000104,000153,グラスウルフ,11,16,風の集落カザリア周辺／禁忌の森（1～2階）,95,58,40,7,24,3,4,117,51,136,66,38,7,22,5,7,150,68,なし
000153,000154,ゴースト,16,16,風の集落カザリア周辺／禁忌の森（1～2階）,122,78,6,5,20,41,16,148,68,122,78,6,5,20,41,16,148,68,なし
001456,000155,ソーンボア,146,20,風の集落カザリア周辺／禁忌の森（1～2階）,3040,214,648,446,282,174,312,28000,14500,262,63,40,15,25,7,11,240,110,あり
000202,000201,ヘルラビット,21,21,風の神殿（1～3階）,172,68,57,9,41,4,4,298,136,172,68,57,9,41,4,4,298,136,なし
000204,000202,マンドラゴラ,21,21,風の神殿（1～3階）,174,91,21,15,13,49,11,298,136,174,91,21,15,13,49,11,298,136,なし
000203,000203,呪いの霊魂,21,21,風の神殿（1～3階）,166,102,7,9,41,51,17,298,136,166,102,7,9,41,51,17,298,136,なし
000251,000204,アーミーウルフ,26,22,風の神殿（1～3階）,205,73,70,18,52,6,4,209,99,179,65,64,13,40,7,4,215,100,なし
000255,000205,群狼隊長,26,25,風の神殿（1～3階）,279,128,46,25,57,4,9,345,163,262,121,44,22,51,5,9,325,150,なし
000252,000251,アイアンジェリー,26,26,クレナ鍾乳洞周辺／クレナ鍾乳洞（1～2階）,232,88,49,29,13,6,18,209,99,232,88,49,29,13,6,18,209,99,なし
