旧ID,新ID,名前,旧ランク,新ランク,変更前スキル,変更後スキル
001356,000052,シェイドクローラー,136,6,こうげき:35%／暗黒剣:20%／キラージャグリング:25%／スキルブレイク:20%,こうげき:45%／ヴァイパーファング:20%／ドルマ:20%／ボミオス:15%
001405,000053,ストーンモール,141,6,こうげき:40%／オノむそう:25%／兜割り:20%／スクルト:15%,こうげき:50%／兜割り:20%／疾風突き:15%／ぼうぎょ:15%
000201,000101,サンドリザード,21,11,こうげき:65%／どくのいき:15%／火炎の息:20%,こうげき:65%／どくのいき:15%／疾風突き:20%
001456,000155,ソーンボア,146,20,こうげき:35%／天下無双:25%／もうどくのいき:20%／おたけび:20%,こうげき:45%／せいけん突き:20%／どくのいき:20%／おたけび:15%
000152,000252,ブロンズナイト,16,26,こうげき:65%／火炎斬り:15%／兜割り:15%／はやぶさ斬り:3%,こうげき:55%／火炎斬り:15%／兜割り:15%／ぶんまわし:15%
000253,000303,フレイムスプライト,26,31,こうげき:65%／メラ:20%／ギラ:20%／火炎の息:10%,こうげき:55%／メラミ:20%／ギラ:15%／火炎の息:10%
000805,000304,灰火のインプ,81,31,こうげき:45%／メラゾーマ:25%／ギラ:20%／どくのいき:10%,こうげき:45%／メラミ:25%／ギラ:20%／どくのいき:10%
000103,000352,アクアスライム,11,36,こうげき:65%／ヒャド:20%,こうげき:55%／ヒャド:20%／ヒャダルコ:25%
000455,000358,ダークナイト,46,40,こうげき:55%／渾身斬り:20%／兜割り:15%／バイキルト:10%／ギガスラッシュ:10%,こうげき:50%／渾身斬り:20%／兜割り:15%／バイキルト:10%／さみだれ斬り:10%
001056,000403,ブリーズモス,106,41,こうげき:40%／バギムーチョ:25%／ボミオス:20%／もうどくのいき:15%,こうげき:45%／バギマ:25%／ボミオス:15%／どくのいき:15%
000303,000404,ブリーズリザード,31,41,こうげき:25%／疾風突き:25%／ウイングアッパー:25%／バギ:25%,こうげき:40%／疾風突き:20%／ウイングアッパー:20%／バギマ:20%
001156,000405,ボルトビートル,116,41,こうげき:40%／ギガデイン:20%／いなずま:20%／スクルト:20%,こうげき:45%／ライデイン:25%／いなずま:15%／スクルト:15%
000651,000451,アルリザード,66,46,こうげき:65%／渾身斬り:20%／ギガスラッシュ:20%／こごえる吹雪:20%,こうげき:50%／渾身斬り:20%／さみだれ斬り:15%／こごえる吹雪:15%
000956,000453,シェルバッククラブ,96,46,こうげき:45%／鉄甲斬:20%／ぶんまわし:20%／氷結斬り:15%,こうげき:45%／兜割り:20%／ぶんまわし:20%／氷結斬り:15%
000905,000454,潮騒ジェリー,91,46,こうげき:45%／マヒャデドス:20%／ベホイミ:15%／マジックバリア:20%,こうげき:45%／ヒャダルコ:25%／ベホイミ:15%／マジックバリア:15%
000701,000507,アクアリリィ,71,54,こうげき:65%／ヒャダルコ:20%／マヒャド:20%／ルカニ:20%,こうげき:50%／ヒャダルコ:25%／ベホイミ:10%／ルカニ:15%
000401,000508,バンパイア,41,54,こうげき:65%／ブラッドソード:20%／ドルマ:15%／おたけび:10%,こうげき:50%／ブラッドソード:20%／ドルクマ:20%／おたけび:10%
000452,000509,リペアジェリー,46,54,こうげき:65%／ホイミ:25%／ベホイミ:10%／スクルト:15%,こうげき:40%／ベホイミ:35%／スクルト:15%／マジックバリア:10%
001556,000510,シャードヘア,156,54,こうげき:30%／氷結斬り:20%／凍てつく氷錐:25%／さみだれ突き:25%,こうげき:40%／氷結斬り:20%／ヒャダルコ:20%／さみだれ突き:20%
001505,000511,フロストジェリー,151,54,こうげき:35%／マヒャデドス:25%／かがやく息:20%／マジックバリア:20%,こうげき:40%／ヒャダルコ:25%／こごえる吹雪:20%／マジックバリア:15%
001305,000555,グルームバット,131,58,こうげき:35%／ドルマドン:25%／マホトーン:20%／ブラッドソード:20%,こうげき:40%／ドルクマ:25%／マホトーン:15%／ブラッドソード:20%
001205,000603,プリズムウィスプ,121,65,こうげき:35%／シャイニング:25%／イオナズン:20%／マジックバリア:20%,こうげき:40%／イオラ:25%／イオ:15%／マジックバリア:20%
000702,000604,ライトリリィ,71,65,こうげき:65%／イオ:15%／イオラ:20%／イオナズン:25%,こうげき:45%／イオ:20%／イオラ:25%／マジックバリア:10%
001256,000605,聖域のセンチネル,126,65,こうげき:40%／ギガスラッシュ:20%／ゴッドハンド:20%／スクルト:20%,こうげき:40%／ギガスラッシュ:20%／渾身斬り:20%／スクルト:20%
001105,000656,スパークハウンド,111,70,こうげき:40%／サンダーボルト:25%／ギガスロー:20%／おたけび:15%,こうげき:40%／サンダーボルト:25%／雷鳴突き:20%／おたけび:15%
000856,000704,マグマサラマンダー,86,71,こうげき:45%／紅蓮剣舞:25%／はげしい炎:20%／火炎斬り:10%,こうげき:45%／渾身斬り:25%／はげしい炎:20%／火炎斬り:10%
000601,000752,スカウトデビル,61,76,こうげき:65%／メラミ:15%／ヘナトス:15%／マジックアロー:25%,こうげき:50%／メラゾーマ:20%／ヘナトス:15%／フォースブレイク:15%
