ID,ランク変更後,名前,登場エリア（修正後）
000001,1,ジェリー,リュミナ村周辺／北東の洞穴（1階）
000002,1,やみこうもり,リュミナ村周辺／北東の洞穴（1階）
000003,1,ウィスプ,リュミナ村周辺／北東の洞穴（1階）
000004,2,ヒールジェリー,リュミナ村周辺／北東の洞穴（1階）
000054,6,さまよう鎧,森の風穴（1～2階）／炎の里イグニシア周辺
001356,6,シェイドクローラー,森の風穴（1～2階）／炎の里イグニシア周辺
001405,6,ストーンモール,森の風穴（1～2階）／炎の里イグニシア周辺
000052,6,ポイズンジェリー,森の風穴（1～2階）／炎の里イグニシア周辺
000051,6,ホーンラビット,森の風穴（1～2階）／炎の里イグニシア周辺
000201,11,サンドリザード,イグナ火山（1～3階）
000102,11,ブラックバット,イグナ火山（1～3階）
000101,11,マッドゴーレム,イグナ火山（1～3階）
000053,11,火の小精,イグナ火山（1～3階）
000055,11,錆びた鎧兵,イグナ火山（1～3階）
000151,16,いたずらバット,風の集落カザリア周辺／禁忌の森（1～2階）
000154,16,いやしの芽,風の集落カザリア周辺／禁忌の森（1～2階）
000104,16,グラスウルフ,風の集落カザリア周辺／禁忌の森（1～2階）
000153,16,ゴースト,風の集落カザリア周辺／禁忌の森（1～2階）
001456,20,ソーンボア,風の集落カザリア周辺／禁忌の森（1～2階）
000202,21,ヘルラビット,風の神殿（1～3階）
000204,21,マンドラゴラ,風の神殿（1～3階）
000203,21,呪いの霊魂,風の神殿（1～3階）
000251,22,アーミーウルフ,風の神殿（1～3階）
000255,25,群狼隊長,風の神殿（1～3階）
000252,26,アイアンジェリー,クレナ鍾乳洞周辺／クレナ鍾乳洞（1～2階）
000152,26,ブロンズナイト,クレナ鍾乳洞周辺／クレナ鍾乳洞（1～2階）
000302,26,ルーンジェリー,クレナ鍾乳洞周辺／クレナ鍾乳洞（1～2階）
000301,30,キラーバット,クレナ鍾乳洞（1～2階）
000155,30,ブロンズリーダー,クレナ鍾乳洞（1～2階）
000254,31,ヒールスポア,イグナ火山（4～5階）
000453,31,フレイムヴァイン,イグナ火山（4～5階）
000253,31,フレイムスプライト,イグナ火山（4～5階）
000805,31,灰火のインプ,イグナ火山（4～5階）
000304,31,見習いメイジ,イグナ火山（4～5階）
000352,36,アクアウィスプ,海底神殿周辺／海底神殿（1～3階）／海上
000103,36,アクアスライム,海底神殿周辺／海底神殿（1～3階）／海上
000354,36,ダークウィスプ,海底神殿周辺／海底神殿（1～3階）
000351,36,ファイアウィスプ,海底神殿周辺／海底神殿（1～3階）／イグナ火山（4～5階）
000353,36,ライトウィスプ,海底神殿周辺／海底神殿（1～3階）
