ID,種別,対象,属性,元の名称,修正版名称,元の説明,修正版説明,変更項目
100,物理,単体,,メタル斬り,鋼穿ち,メタルに固定ダメージ,硬質な敵を穿つ固定ダメージ攻撃,説明・名称
101,物理,単体,,疾風突き,先駆け,疾風の如き速さの一撃,誰よりも早く踏み込む先制の一撃,説明・名称
102,物理,単体,,はやぶさ斬り,二段斬り,2回攻撃,2回攻撃,名称
103,物理,単体,風,ウイングアッパー,風切り拳,風の拳,風の拳,名称
104,物理,単体,火,火炎斬り,焔斬り,炎の剣技,炎の剣技,名称
105,物理,単体,水,氷結斬り,霜斬り,氷の剣技,氷の剣技,名称
106,物理,単体,雷,雷鳴突き,雷突き,雷の槍技,雷の槍技,名称
107,物理,単体,,兜割り,甲割り,敵の守備を下げる,敵の守備を下げる,名称
108,物理,単体,,ミラクルソード,祈りの剣,奇跡の剣技・HP回復,奇跡の剣技・HP回復,名称
109,物理,単体,混沌,ブラッドソード,血啜り,HP吸収,HP吸収,名称
110,物理,単体,,ヴァイパーファング,毒牙,どく攻撃,どく攻撃,名称
111,物理,単体,,せいけん突き,剛拳,力強い一撃,力強い一撃,名称
112,物理,単体,,魔人斬り,羅刹斬り,当たる確率は低いが、防御無視の会心攻撃,命中は不安定だが、防御を無視する会心の一刀,説明・名称
113,物理,単体,,渾身斬り,全霊斬り,渾身の一撃,渾身の一撃,名称
114,物理,単体,闇,暗黒剣,影葬,闇の剣技,闇の剣技,名称
115,物理,単体,,フォースブレイク,霊脈断ち,敵の全属性耐性を激減させる,敵の霊脈を断ち、全属性耐性を大きく下げる,説明・名称
116,物理,単体,,マジックアロー,魔封じの矢,相手の魔力を下げる一撃,相手の魔力を下げる一撃,名称
117,物理,単体,,やいばくだき,刃砕き,相手の攻撃力を下げる一撃,相手の攻撃力を下げる一撃,名称
118,物理,単体,雷,サンダーボルト,雷震,敵を感電させる強力な一撃,敵を感電させる強力な一撃,名称
119,物理,全体,,ぶんまわし,薙ぎ払い,全体物理攻撃,全体物理攻撃,名称
120,物理,全体,,さみだれ斬り,霞斬り,全体物理攻撃,全体物理攻撃,名称
121,物理,ランダム,,さみだれ突き,雨垂れ突き,4回攻撃,4回攻撃,名称
122,物理,単体,水,氷結乱撃,氷雨,氷の4回攻撃,氷の4回攻撃,名称
123,物理,ランダム,,ばくれつけん,烈拳乱舞,4回攻撃,4回攻撃,名称
124,物理,ランダム,,さみだれ剣,刃嵐,4回斬撃,4回斬撃,名称
125,物理,ランダム,,キラージャグリング,道化の刃,6回ランダム攻撃,舞うように刃を投じる6回ランダム攻撃,説明・名称
126,物理,全体,光,ギガスラッシュ,セレスティア,光の剣技,光の剣技,名称
127,物理,全体,風,しんくうは,風刃の輪,敵全体に真空の刃,敵全体に真空の刃,名称
128,物理,全体,,狼牙突き,狼駆け,全体物理攻撃,全体物理攻撃,名称
129,物理,全体,,オノむそう,旋風斧,全体物理攻撃,全体物理攻撃,名称
130,物理,全体,,デュアルカッター,ヴァリオン,全体物理攻撃2連,全体物理攻撃2連,名称
131,物理,単体,,タイガークロー,虎爪,強力な爪の3回攻撃,強力な爪の3回攻撃,名称
132,物理,単体,,超はやぶさ斬り,クアドリア,超高速の4連撃,超高速の4連撃,名称
