チュートリアルNo,JS_ID,一覧見出し案,一覧説明文案,ページNo,ページ見出し案,本文案,画像代替テキスト案,使用画像ファイル名
T01,t01-bulk-download,画像をまとめてダウンロード,初回画像取得とオフライン利用について,1,画像をまとめて取得しよう,"ゲームで使う画像を最初にまとめてダウンロードできます。

通信量は増えますが、その後の画像表示が安定し、オフラインでも遊びやすくなります。設定は後から変更できます。",画像の一括ダウンロード確認画面,assets/tutorial/0001.png
T02,t02-hero-setup,主人公を設定しよう,主人公の名前と画像の設定,1,主人公を設定しよう,"主人公の名前を入力して冒険を始めよう。

主人公画像の設定は任意です。あとから変更できる場合は、設定や主人公画面からいつでも見直せます。",主人公の名前と画像を設定する画面,assets/tutorial/0002.png
T03,t03-basic-attack,攻撃してみよう,戦闘コマンドと攻撃対象の選択,1,攻撃してみよう,"行動する仲間のコマンドから「攻撃」を選ぼう。

次に攻撃したい敵を選ぶと行動が決定します。まずは通常攻撃で戦闘の流れをつかもう。",攻撃コマンドと敵の対象選択画面,assets/tutorial/0003.png
T04,t04-skill-and-mp,スキルを使おう,スキル、MP、攻撃・回復範囲について,1,スキルを使おう,"スキルはMPを消費する代わりに、強力な攻撃や回復などの効果を発揮します。

消費MP、効果、対象範囲を確認して、必要な相手を選ぼう。",スキル一覧とMP、対象範囲の説明画面,assets/tutorial/0004.png
T05,t05-field-controls,フィールドを歩こう,移動、決定、調べる操作,1,フィールドを歩こう,"方向ボタンでフィールドを移動できます。

人物や宝箱、入口などの前に立って「OK」を押すと、話す・調べる・中へ入るといった行動ができます。",フィールドの方向ボタンとOKボタン,assets/tutorial/0005.png
T06,t06-objective-hud,次の目的を確認しよう,目的表示で次の行動を確認,1,次の目的を確認しよう,"次に何をすればよいか迷った時は、画面上部の「目的」を確認しよう。

行き先や倒す相手など、物語を進めるための手がかりが表示されます。",フィールド画面上部の目的表示,assets/tutorial/0006.png
T07,t07-minimap,ミニマップを活用しよう,現在地と周囲の地形を確認,1,ミニマップを活用しよう,"ミニマップには現在地と周囲の地形が表示されます。

出口や目的地のおおよその方向を確かめながら進むと、探索しやすくなります。",現在地と周囲の地形を示すミニマップ,assets/tutorial/0007.png
T08,t08-main-menu,メニューを開こう,冒険の準備を行うメインメニュー,1,メニューを開こう,"「MENU」から冒険の準備や各種確認ができます。

仲間の編成、装備、アイテム、スキル、設定などを見直したい時に開こう。",フィールド画面のMENUボタン,assets/tutorial/0008.png
T09,t09-party-formation,パーティを編成しよう,戦闘メンバーと並び順の変更,1,パーティを編成しよう,"パーティ編成では、戦闘に参加する仲間と並び順を変更できます。

仲間が増えたら、それぞれの役割や敵との相性に合わせてメンバーを選ぼう。",パーティメンバーの編成画面,assets/tutorial/0009.png
T10,t10-character-status,仲間の詳細を確認しよう,能力、装備、スキル、特性の確認,1,仲間の詳細を確認しよう,"キャラクター画面では、能力値、装備、習得スキル、特性やシナジーを確認できます。

タブを切り替えて、仲間の得意分野や成長状況を把握しよう。",キャラクター詳細の各タブ,assets/tutorial/0010.png
